iter	Logloss
0	0.651923411
1	0.6183254775
2	0.5899270419
3	0.5671130322
4	0.5479412131
5	0.5317243879
6	0.5181200029
7	0.506577827
8	0.4967031594
9	0.4884952774
10	0.4815064357
11	0.4754937027
12	0.4706634222
13	0.4664152425
14	0.4622321852
15	0.459967269
16	0.4572691974
17	0.4541292974
18	0.4518715564
19	0.4502409357
20	0.4486122196
21	0.447581992
22	0.4464760384
23	0.4451561479
24	0.4438541841
25	0.4428678521
26	0.4415703625
27	0.4407506539
28	0.4397899842
29	0.4389250922
30	0.4381401729
31	0.4371033696
32	0.4366464015
33	0.4354288593
34	0.4346779982
35	0.4332999047
36	0.432603226
37	0.4318879921
38	0.4306738593
39	0.4298193486
40	0.4293665524
41	0.4289821353
42	0.4280313716
43	0.427456186
44	0.4269382294
45	0.4263002249
46	0.4251634558
47	0.4245201552
48	0.4236165639
49	0.4228355542
50	0.422176759
51	0.4217692055
52	0.4213778953
53	0.4201111602
54	0.4190305438
55	0.4185128564
56	0.4177944367
57	0.4174535121
58	0.4165440056
59	0.4157303418
60	0.4151420003
61	0.4144842445
62	0.4131778702
63	0.4123462063
64	0.411989868
65	0.4114537578
66	0.4112278862
67	0.4107648424
68	0.4104307722
69	0.4102224115
70	0.4096260622
71	0.4092444088
72	0.4086964009
73	0.4081294064
74	0.4074979147
75	0.406984224
76	0.4065717871
77	0.4058646504
78	0.4051379062
79	0.4047727692
80	0.4044881703
81	0.4037250859
82	0.4034623677
83	0.4024795795
84	0.4019274202
85	0.4016778464
86	0.4013287161
87	0.4009614554
88	0.3998870448
89	0.3995016302
90	0.3992463712
91	0.3989329397
92	0.3984641905
93	0.3974868852
94	0.3968284459
95	0.3961107644
96	0.3958002761
97	0.3946556952
98	0.3944575741
99	0.394125046
