iter	Passed	Remaining
0	52	5216
1	53	2626
2	54	1748
3	54	1314
4	55	1048
5	55	873
6	56	746
7	56	650
8	56	576
9	57	516
10	57	468
11	58	427
12	58	392
13	59	363
14	59	337
15	59	314
16	60	293
17	60	275
18	60	259
19	61	245
20	61	232
21	62	220
22	62	208
23	62	198
24	63	190
25	63	181
26	64	173
27	64	166
28	65	159
29	65	152
30	65	146
31	66	140
32	66	135
33	67	130
34	67	125
35	67	120
36	68	116
37	68	112
38	69	108
39	69	104
40	70	100
41	70	97
42	70	94
43	71	90
44	71	87
45	72	84
46	72	82
47	73	79
48	73	76
49	73	73
50	74	71
51	74	68
52	75	66
53	75	64
54	76	62
55	76	60
56	77	58
57	77	56
58	77	54
59	78	52
60	78	50
61	79	48
62	79	46
63	79	44
64	80	43
65	81	41
66	81	40
67	81	38
68	82	36
69	82	35
70	83	33
71	83	32
72	84	31
73	84	29
74	84	28
75	85	26
76	85	25
77	86	24
78	86	23
79	87	21
80	87	20
81	87	19
82	88	18
83	88	16
84	89	15
85	89	14
86	90	13
87	90	12
88	90	11
89	91	10
90	91	9
91	92	8
92	92	6
93	93	5
94	93	4
95	93	3
96	94	2
97	94	1
98	95	0
99	95	0
